author,book_id,book_title
Edgar Allan Poe,23919,The Complete Stories and Poems
S.E. Hinton,231804,The Outsiders
C.S. Lewis,65641,"The Silver Chair (Chronicles of Narnia, #4)"
Tennessee Williams,92517,The Glass Menagerie
T.H. White,43545,The Once and Future King (The Once and Future King #1-4)
Samuel Beckett,17716,Waiting for Godot
C.S. Lewis,84369,"The Last Battle (Chronicles of Narnia, #7)"
Shel Silverstein,370493,The Giving Tree
Alexandre Dumas,54499,"The Man in the Iron Mask (The D'Artagnan Romances, #3.3)"
John Steinbeck,4799,Cannery Row
Albert Camus,11989,The Plague
J.K. Rowling,3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
Milan Kundera,9717,The Unbearable Lightness of Being
Washington Irving,93261,The Legend of Sleepy Hollow
Johann Wolfgang von Goethe,16640,The Sorrows of Young Werther
Fyodor Dostoyevsky,7144,Crime and Punishment
Antoine de Saint-Exupéry,157993,The Little Prince
Thomas Hardy,56759,The Mayor of Casterbridge
C.S. Lewis,17383917,The Screwtape Letters
Louisa May Alcott,78950,"Little Men (Little Women, #2)"
Johann David Wyss,62111,The Swiss Family Robinson  
L.M. Montgomery,8127,"Anne of Green Gables (Anne of Green Gables, #1)"
Charles Dickens,325085,Nicholas Nickleby
Laura Ingalls Wilder,77767,"Little House on the Prairie (Little House, #2)"
Elizabeth Gaskell,182381,Cranford
Jane Austen,91582,Lady Susan
F. Scott Fitzgerald,4708,The Beautiful and Damned
John Bunyan,29797,The Pilgrim's Progress
Johann Wolfgang von Goethe,14706,Faust: First Part
Dodie Smith,33602148,I Capture the Castle
Charlotte Perkins Gilman,286957,The Yellow Wall-Paper
Shel Silverstein,30119,Where the Sidewalk Ends
George Eliot,20564,The Mill on the Floss
Edmond Rostand,15638,Cyrano de Bergerac
Charles Dickens,31250,Little Dorrit
Daniel Defoe,38262,Moll Flanders
Jane Austen,45032,Mansfield Park
Unknown,3049,Sir Gawain and the Green Knight 
Walt Whitman,27494,Leaves of Grass
Virginia Woolf,18839,Orlando
Margery Williams Bianco,144974,The Velveteen Rabbit
Maurice Sendak,19543,Where the Wild Things Are
Nathaniel Hawthorne,90192,The House of the Seven Gables
Orson Scott Card,375802,"Ender's Game (Ender's Saga, #1)"
Lewis Carroll,6324090,Alice's Adventures in Wonderland
L.M. Montgomery,77394,"Anne's House of Dreams (Anne of Green Gables, #5)"
Rudyard Kipling,41684,The Jungle Books
Robert Louis Stevenson,325128,"Kidnapped (David Balfour, #1)"
William Shakespeare,42058,Richard III
Natalie Babbitt,84981,Tuck Everlasting
Aleksandr Solzhenitsyn,17125,One Day in the Life of Ivan Denisovich
Hans Christian Andersen,46306,The Complete Fairy Tales
Sylvia Plath,6514,The Bell Jar
Euripides,752900,Medea
P.L. Travers,152380,"Mary Poppins (Mary Poppins, #1)"
William Shakespeare,37526,Henry V
D.H. Lawrence,32071,Sons and Lovers
Sophocles,1540,"The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays, #1–3)"
Shirley Jackson,89717,The Haunting of Hill House
W. Somerset Maugham,31548,Of Human Bondage
Nikolai Gogol,28381,Dead Souls
Pierre-Ambroise Choderlos de Laclos,49540,Les Liaisons dangereuses
Charles Dickens,31244,Our Mutual Friend
Ray Bradbury,76778,The Martian Chronicles
Umberto Eco,119073,The Name of the Rose
Suzanne Collins,2767052,"The Hunger Games (The Hunger Games, #1)"
Dan Brown,968,"The Da Vinci Code (Robert Langdon, #2)"
Khaled Hosseini,77203,The Kite Runner
J.K. Rowling,5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
Stieg Larsson,2429135,"The Girl with the Dragon Tattoo (Millennium, #1)"
J.K. Rowling,6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
Suzanne Collins,7260188,"Mockingjay (The Hunger Games, #3)"
J.K. Rowling,136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)"
J.K. Rowling,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
Kathryn Stockett,4667024,The Help
Dan Brown,960,"Angels & Demons  (Robert Langdon, #1)"
Markus Zusak,19063,The Book Thief
Audrey Niffenegger,18619684,The Time Traveler's Wife
Alice Sebold,12232938,The Lovely Bones
Arthur Golden,929,Memoirs of a Geisha
John Green,11870085,The Fault in Our Stars
George R.R. Martin,13496,"A Game of Thrones (A Song of Ice and Fire, #1)"
Paula Hawkins,22557272,The Girl on the Train
Khaled Hosseini,128029,A Thousand Splendid Suns
Sue Monk Kidd,37435,The Secret Life of Bees
Stieg Larsson,5060378,"The Girl Who Played with Fire (Millennium, #2)"
Neil Gaiman,30165203,American Gods
Stephenie Meyer,41865,"Twilight (Twilight, #1)"
Jeffrey Eugenides,2187,Middlesex
Anthony Doerr,18143977,All the Light We Cannot See
Emma Donoghue,7937843,Room
Stieg Larsson,6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)"
Veronica Roth,13335037,"Divergent (Divergent, #1)"
Donna Tartt,17333223,The Goldfinch
Stephen Chbosky,22628,The Perks of Being a Wallflower
Kazuo Ishiguro,6334,Never Let Me Go
Erin Morgenstern,9361589,The Night Circus
George R.R. Martin,10572,"A Clash of Kings  (A Song of Ice and Fire, #2)"
Jane Austen,14935,Sense and Sensibility
Chuck Palahniuk,5759,Fight Club
Neil Gaiman,15783514,The Ocean at the End of the Lane
Jodi Picoult,10917,My Sister's Keeper
Dan Brown,6411961,"The Lost Symbol (Robert Langdon, #3)"
Ernest Cline,9969571,Ready Player One
